chipwidth : 300
numBlocks : 200
0 : 2 3
1 : 18 12
2 : 14 5
3 : 11 6
4 : 12 16
5 : 6 44
6 : 2 10
7 : 2 23
8 : 52 6
9 : 12 39
10 : 7 26
11 : 10 13
12 : 19 3
13 : 59 12
14 : 2 14
15 : 8 4
16 : 39 39
17 : 14 24
18 : 20 19
19 : 4 4
20 : 18 14
21 : 12 23
22 : 30 12
23 : 1 2
24 : 2 11
25 : 5 26
26 : 9 16
27 : 65 32
28 : 23 19
29 : 5 19
30 : 10 14
31 : 6 30
32 : 31 1
33 : 16 5
34 : 26 6
35 : 8 3
36 : 7 15
37 : 2 2
38 : 1 24
39 : 9 50
40 : 7 2
41 : 20 14
42 : 22 6
43 : 3 4
44 : 2 4
45 : 7 2
46 : 22 48
47 : 67 26
48 : 22 23
49 : 39 14
50 : 7 29
51 : 13 45
52 : 22 2
53 : 14 5
54 : 19 29
55 : 8 2
56 : 46 23
57 : 22 9
58 : 7 14
59 : 1 33
60 : 25 9
61 : 13 4
62 : 23 29
63 : 11 31
64 : 14 3
65 : 1 2
66 : 7 25
67 : 28 7
68 : 20 22
69 : 15 4
70 : 4 25
71 : 9 4
72 : 23 16
73 : 14 19
74 : 10 34
75 : 9 9
76 : 2 4
77 : 103 7
78 : 4 3
79 : 11 37
80 : 8 3
81 : 4 26
82 : 14 2
83 : 8 15
84 : 13 44
85 : 40 2
86 : 12 38
87 : 39 13
88 : 4 16
89 : 2 37
90 : 4 3
91 : 6 9
92 : 13 4
93 : 12 15
94 : 22 2
95 : 7 13
96 : 13 35
97 : 29 48
98 : 9 1
99 : 30 3
100 : 11 31
101 : 21 2
102 : 4 4
103 : 14 1
104 : 1 9
105 : 9 12
106 : 2 40
107 : 22 18
108 : 8 17
109 : 13 1
110 : 22 28
111 : 8 36
112 : 3 7
113 : 18 15
114 : 14 21
115 : 24 45
116 : 4 2
117 : 22 14
118 : 95 1
119 : 26 68
120 : 15 4
121 : 5 7
122 : 46 38
123 : 4 1
124 : 4 5
125 : 58 2
126 : 14 8
127 : 17 47
128 : 15 15
129 : 6 18
130 : 9 17
131 : 16 2
132 : 9 6
133 : 7 7
134 : 14 4
135 : 5 22
136 : 12 15
137 : 11 5
138 : 9 14
139 : 33 13
140 : 8 4
141 : 28 7
142 : 17 59
143 : 4 37
144 : 9 1
145 : 6 9
146 : 20 8
147 : 24 1
148 : 14 54
149 : 49 10
150 : 14 8
151 : 9 18
152 : 4 7
153 : 9 16
154 : 25 37
155 : 32 29
156 : 8 4
157 : 2 15
158 : 61 5
159 : 4 22
160 : 8 15
161 : 19 25
162 : 4 21
163 : 5 19
164 : 19 24
165 : 14 17
166 : 7 3
167 : 29 3
168 : 15 4
169 : 10 12
170 : 43 9
171 : 14 3
172 : 2 3
173 : 20 4
174 : 22 62
175 : 17 17
176 : 26 2
177 : 15 12
178 : 2 36
179 : 32 50
180 : 5 22
181 : 16 8
182 : 14 30
183 : 5 2
184 : 1 2
185 : 8 3
186 : 30 7
187 : 4 9
188 : 9 3
189 : 14 3
190 : 42 14
191 : 34 9
192 : 4 11
193 : 38 72
194 : 6 1
195 : 3 5
196 : 10 8
197 : 12 12
198 : 4 12
199 : 13 61
