chipwidth : 100
numBlocks : 50
0 : 4 22
1 : 9 4
2 : 18 10
3 : 19 9
4 : 5 4
5 : 3 3
6 : 4 15
7 : 1 3
8 : 13 3
9 : 13 14
10 : 2 4
11 : 1 14
12 : 8 13
13 : 1 7
14 : 11 16
15 : 11 1
16 : 38 1
17 : 9 5
18 : 2 8
19 : 6 2
20 : 2 4
21 : 2 21
22 : 4 5
23 : 17 4
24 : 7 2
25 : 5 1
26 : 3 17
27 : 2 3
28 : 7 25
29 : 3 3
30 : 4 7
31 : 8 10
32 : 32 15
33 : 5 3
34 : 7 3
35 : 2 14
36 : 5 6
37 : 14 1
38 : 11 8
39 : 15 11
40 : 9 1
41 : 1 17
42 : 3 4
43 : 20 26
44 : 13 2
45 : 4 4
46 : 1 8
47 : 23 36
48 : 2 2
49 : 4 2
