chipwidth : 200
numBlocks : 100
0 : 4 6
1 : 2 4
2 : 110 45
3 : 1 15
4 : 2 4
5 : 6 3
6 : 1 27
7 : 4 23
8 : 9 14
9 : 1 11
10 : 15 2
11 : 18 24
12 : 8 1
13 : 15 40
14 : 7 14
15 : 11 4
16 : 1 2
17 : 37 2
18 : 20 8
19 : 12 9
20 : 15 15
21 : 14 20
22 : 4 27
23 : 1 18
24 : 22 14
25 : 23 7
26 : 5 3
27 : 5 22
28 : 6 25
29 : 14 58
30 : 17 9
31 : 3 2
32 : 1 20
33 : 8 3
34 : 18 8
35 : 20 2
36 : 6 19
37 : 67 3
38 : 10 8
39 : 8 9
40 : 21 11
41 : 4 5
42 : 4 16
43 : 17 22
44 : 20 30
45 : 14 5
46 : 12 22
47 : 20 5
48 : 4 11
49 : 7 4
50 : 33 32
51 : 19 9
52 : 27 16
53 : 18 5
54 : 8 16
55 : 8 1
56 : 4 3
57 : 3 71
58 : 41 1
59 : 15 5
60 : 33 4
61 : 5 17
62 : 4 9
63 : 3 24
64 : 11 8
65 : 6 5
66 : 50 27
67 : 25 16
68 : 22 29
69 : 4 24
70 : 8 21
71 : 6 2
72 : 9 7
73 : 14 2
74 : 14 3
75 : 15 22
76 : 1 8
77 : 7 16
78 : 3 10
79 : 21 5
80 : 1 9
81 : 4 45
82 : 14 1
83 : 41 18
84 : 27 30
85 : 7 7
86 : 6 6
87 : 7 32
88 : 4 3
89 : 44 12
90 : 1 2
91 : 12 3
92 : 22 10
93 : 27 2
94 : 5 63
95 : 23 15
96 : 7 7
97 : 14 4
98 : 9 12
99 : 3 6
